transaction_date_time,cust_id,credit_card_number,transaction_amount,transaction_type,day_type
177637788,7786,213188253908236,1170,b,w
178099506,562,6011859615603928,6896,b,s
179446920,7856,213143524249290,4315,c,w
179933127,4083,6511481143095306,913,c,s
180376599,3614,4516548122648,579,d,w
180961139,4208,30078340245521,448,c,s
181098981,8882,6011251507021684,2056,d,w
181211309,2833,213154858991027,1180,b,w
182429474,1668,6011627212581700,5850,a,w
183196739,2809,36519624437916,4298,d,w
183841533,6592,4726602018876274,8442,c,w
184300149,4335,4527886061889018,8441,d,s
184629648,6559,2711755443091991,4589,d,w
186530110,3326,4558073037303505,2533,d,s
186996112,3281,4107960078092912,8404,b,s
187144065,3879,579813092486,3868,a,s
188259635,5570,30460976408518,5162,a,s
188792203,2945,3551179189676926,2901,d,w
189163184,6499,347536487928801,1733,a,s
191057507,3923,213180107754379,2754,a,w
191244423,6556,3534949527360652,5439,d,s
193309851,1420,30434085218332,4926,c,s
193526591,9672,4760980228524521,6430,c,s
196709035,1810,4536717524744269,589,c,w
196760243,8208,6552882880668223,7358,b,w
197646531,4997,4445695330384,5407,c,w
198711266,4256,501808565078,2819,a,s
199315496,1270,3582411902844306,453,a,w
203084936,5167,4093320036872945,9328,b,s
203300806,937,2289770861611891,1318,b,s
204935900,7732,4240988161336613,6191,b,s
206448022,3598,6011406309842642,519,c,s
207346209,2177,6011026491850581,6270,c,s
207381493,5082,4.37362966409599E+018,911,b,s
208805419,6629,3509897656262267,9064,b,w
210668237,5312,38441936833856,1636,c,w
213082432,6324,6567910374369272,7750,d,w
213537169,5749,379407601941057,9753,d,s
214947401,6465,588865929883,3226,b,s
214999797,3421,4.39417190034326E+018,3818,a,s
216013533,2550,4.08391790499699E+018,500,c,w
218100773,7853,3598591296929870,5149,d,s
219022241,1987,4.43581778673806E+018,1229,b,w
221110672,2929,30432648815479,7012,a,w
221201502,5199,348049893794840,8955,a,w
221220508,9424,3582995894633990,625,b,w
221457457,4441,3592500375611727,9878,b,s
221721230,6527,630425976473,539,c,s
221953996,5312,36346009865515,5533,b,s
222094670,3892,4839665779150,4855,c,s
222491917,1843,3560481654871019,9760,d,s
222616079,1206,5353307018648361,2871,a,s
223433964,2810,3587967712602239,9939,b,w
226072069,5320,4767593343873120,260,a,s
226714026,6426,3521699448665912,7947,a,w
226728791,7307,2249139023859856,1514,a,w
226961622,4264,6011282938677422,526,b,s
229935830,7294,4161297209644847,9115,d,s
230096131,3560,4347296197907767,396,b,s
230462525,7631,3575081813501276,2409,a,s
230584132,2140,3524607453292164,4150,b,s
233347112,6952,3531831715890646,1337,a,s
234213571,749,371463912584423,2630,a,s
234222556,5354,180036262573906,7352,c,s
235707598,8143,5457388267271902,2342,a,s
238051605,7772,377882603986197,2006,c,w
238406983,5344,4.14257645950985E+018,5322,c,w
239150788,7777,3544569680903268,6900,d,s
239527323,9655,4926390442454102,1864,a,w
239970587,5560,3584320257440495,7433,b,s
240047473,8056,630474587809,6145,c,s
240767704,8491,346635891717684,9171,a,w
242441242,3608,4969224840749656,4785,b,w
242500403,4412,345678903507280,2252,d,w
243290451,2950,3582078332739388,8702,d,s
246623285,6560,4.21762600211325E+018,9504,c,s
249539424,5477,213198530576714,7251,c,s
249655615,2433,4646019498228974,8925,c,s
250005128,8319,3515181293746749,3099,b,s
250639148,6785,36346339252459,9838,b,s
252186841,6981,4680229293890905,4760,c,w
252629952,8892,4257196322187749,7136,a,s
253029987,9855,30213649381095,3707,c,w
254455178,7062,566725080030,6829,a,s
254873759,4629,346561975984117,8992,a,s
255132021,8251,4960734012660,6086,c,s
255477749,7562,3551737990168860,1370,d,s
255912753,7904,3591125697575367,8385,d,w
255998643,8149,503865699816,3696,b,w
257319986,9123,4.8479459600621E+018,1596,c,w
258006975,9232,675924515512,630,c,w
258630409,7984,4407710162107523,7618,c,s
259260364,6203,4.31016378451553E+018,664,c,w
263689166,9773,2350844567717338,9015,c,s
263986396,4347,3591476454896292,810,b,s
264073517,973,503839273870,146,c,w
264375462,5779,30499767153495,4537,a,s
264887691,5185,4839993354411618,4205,d,w
264918404,6159,6011457297812188,3017,b,w
265471652,1419,6011342628242570,5423,c,s
265501651,3173,30027446771153,4542,c,w
265742602,5252,30010981175709,651,a,w
265829543,4529,30374834062062,5729,c,s
267650173,1088,2246407636099894,3295,c,s
268186752,9674,4498362463823851,2708,b,s
268478025,4510,6011632865612497,9783,b,w
269460016,9780,4687494656763031,1878,b,w
269665455,7471,180022704003132,8480,c,w
270031729,1367,4906840119606669,3790,c,w
272469619,2209,30213235065524,9615,c,s
273213634,9432,4.83775782500521E+018,8177,a,s
273674295,9970,676333550926,6213,d,w
274071233,5662,340572309252226,5328,a,w
275024154,2779,4.45168804390864E+018,8557,a,s
276000942,937,639055937820,1379,c,w
276520728,1441,38142788534200,2471,c,s
277712662,4903,3532157194665369,9010,b,w
278306017,5994,3554358896523566,6712,b,s
279004171,6238,3538284708334789,4128,b,w
279987020,3039,3506623314481781,9956,a,w
280013297,6945,4532993340567986,5691,a,s
281407009,2174,501820465307,9418,d,s
281586138,7154,5471390269745661,8305,a,s
282227773,7624,374559795461022,6760,a,s
284206015,519,38424195471675,3154,a,w
284883886,8497,4.75118844353271E+018,3201,d,w
285053955,5883,378114862291765,5389,c,s
285385204,841,180095967313646,9016,b,s
287297424,6195,2226545589486255,4024,c,w
288067617,867,4950777888916850,6079,d,w
288541474,2114,4810502083289725,5191,a,w
288920411,1537,371538638712968,2378,b,s
289108970,1894,4.07100102581584E+018,5379,b,w
289359022,6881,30118879164410,7322,a,w
290658377,9424,4374429872179107,6207,b,s
290935340,9615,4611101119608429,7007,d,w
291260520,786,4.75894436951102E+018,1508,c,w
293253703,3851,3544909258725794,5958,d,w
293449372,1586,4092115404975,4532,b,s
294223412,2424,6011598652043479,4376,c,s
294550902,6692,180095110343441,1835,b,s
296013955,9738,4838225921987387,1874,a,w
296476559,1029,4605091247825052,4267,d,w
296875006,2311,344186930497336,2325,d,w
298235496,7553,3537517594514530,1789,d,w
298573640,4134,4035178093032543,1275,d,s
299126616,8834,4369024919727,684,a,w
299219730,3594,2467655422075229,7088,c,s
299856267,9726,4931476574200927,4142,c,s
299913965,7783,566972483986,8651,b,s
301910627,6296,6011304250177367,8958,d,w
303636104,9040,2258727633921476,5437,b,w
304460059,8754,6570162131258134,4231,c,s
306614015,8915,2703575356821089,4681,a,s
307300295,7987,4425807755054217,2917,a,w
312005464,4882,180041778413969,8179,a,s
312067294,2860,3518906567561607,7606,d,s
312895884,6159,38967728183605,8784,a,w
314665769,6577,4745408555932,8928,a,w
315486060,1172,4.78270748757628E+018,1703,c,s
316284862,6683,3568244522067505,2059,a,w
316387968,9890,375530451199098,7861,a,s
316952226,3118,4621718647786,2441,c,s
318555160,6867,589382125989,2169,b,w
318797834,3353,376266781030708,5707,d,s
320383847,8209,2697996172753819,554,a,w
320460487,4439,4177236177251,3685,b,w
321450250,4234,346680712204777,3617,d,s
321855350,1589,4.59602347824413E+018,8638,a,s
322654249,6953,180006917610759,2679,c,s
322899336,8348,503836138464,3798,a,w
324020994,5953,501896736326,3908,a,w
324239523,5145,501813519698,6888,b,w
324277136,8513,180055154114058,5644,b,w
327143352,3513,2316288164757003,2788,a,s
327421456,6259,3583447185239995,4537,a,s
330939443,9819,180057611595275,6562,d,s
331029441,3089,2527081695759423,1189,c,s
332152883,7333,3540633881151483,2577,d,w
332972350,2613,4182049806641,4265,b,s
333308822,7831,4133369221341036,6434,c,s
333351336,7193,4887987128500269,7130,c,s
333446140,1782,36484075511570,4510,c,s
334564287,3287,213146111316778,8300,b,s
336278499,7398,3526377792616337,4005,d,s
337340113,6408,4887069569183341,5937,c,w
338738877,9522,3557941888391139,8719,d,w
339090376,5266,2262506587195400,2740,d,s
339958433,7710,3529231594824135,3655,a,w
341813515,5164,4.39555856582043E+018,404,b,w
341974591,4897,4854008874438163,8556,c,s
342142512,1447,4283005114435562,3901,c,w
344538646,8980,3573619162644072,1916,a,s
345619731,5927,346276968896752,8455,a,w
346798038,9043,4503915572864448,2460,a,s
349503689,7518,374184839094851,7082,d,w
349609691,1851,501896061485,854,c,w
349919912,4644,6557169488340032,1265,b,w
354025625,5527,5573685249559117,6701,d,s
354058402,3734,4581660915526,2816,a,s
354990627,5709,4022497515057002,9367,c,s
355409177,9214,180021034300838,2903,c,w
355753391,1319,2285555717171388,9255,a,w
356156875,2394,180018307187306,6485,a,w
357579503,1311,4.89673346616481E+018,6504,a,s
357875767,3142,503892420665,9094,d,s
362203925,5911,3512153999034475,8557,b,s
362524409,5529,4441732107788660,7924,b,s
362785400,1373,6011678516899801,250,a,s
363731771,4012,4494261599330027,7245,d,w
364667528,5434,4777785194200191,364,d,w
365418557,7300,3513030504405888,7543,c,w
365430086,7603,4728974928857,1206,c,s
365907005,8077,2243606666847477,6034,c,w
366279179,9836,4271863967178570,9049,b,s
366733058,9176,3584529696316690,437,c,w
367796134,8194,4393840577207315,1917,c,w
368486656,5708,4638550311174946,361,a,w
369277655,8669,2231203188819079,1546,b,w
369600287,3827,4621619220078438,8769,a,w
370794313,4451,2504701950655779,8644,a,s
371267178,8891,340440077843966,8989,d,w
371600856,5198,30359211036961,9802,b,w
371872602,819,30522732409781,3096,b,s
372429005,9776,4.24178770092976E+018,3703,a,s
373612619,2576,4.23394879911272E+018,4059,d,s
374659515,1135,4485777585874737,7154,c,s
376761344,2687,344021177381291,1907,c,s
377516279,3674,3535794483917452,1371,b,s
378441600,5283,3591672798398504,2322,c,s
379160815,5179,4.18376917732231E+018,5095,c,w
380276586,9389,3513776994584349,4785,b,w
380798203,6998,5336217981655669,1904,d,w
381545144,3122,3538732859886874,610,d,w
382723900,8826,30283921680043,372,a,s
382776477,5905,30171069909789,1938,d,w
383713555,2025,5351491400406885,7748,a,s
383784489,4932,4253164079940,593,d,w
384565379,1121,3516428446779856,5003,c,s
384801309,5192,3568718445007961,5253,a,s
385355322,7079,4427158705666,378,b,w
385587967,5952,3502979861927590,7237,d,s
386370662,2238,213195171257000,240,b,w
387079669,4391,3542539321121473,4908,c,s
387376497,1199,4.35026365460382E+018,9239,d,w
387652920,8677,372263328072172,8982,c,s
390127370,6792,503847634907,3097,b,w
390905288,3690,4310609796874,8732,c,s
391954860,9931,3521664409881940,9592,a,s
396537076,4408,6553900127292752,2933,b,w
398996882,3189,349352325642820,8157,c,s
399578094,7197,4236713570140356,9619,d,s
402070508,4739,6011489154733769,8531,a,s
402860623,7051,213184739196785,4476,d,s
403648745,8861,30488242715200,4149,b,w
403775904,7964,3536986736046381,9276,a,s
404059930,1077,4412730628636,3176,c,s
404571675,1373,4283356910888979,5591,a,w
406292276,6260,341572531251888,3555,a,s
407014296,8071,213139740096481,7863,d,s
407155420,7168,213139800852765,3510,c,s
407975021,1920,4672340147844,5413,a,s
411492295,6243,4.35493452681165E+018,2218,a,w
411877664,6474,2255662828106695,2405,b,w
411936337,3681,3546824750050872,4245,c,w
413109717,969,213140059056371,640,b,w
413162605,7684,2712277286120125,8574,a,s
414321646,3292,4089344026257715,4551,d,w
414944763,1734,3513088204780638,2045,c,s
415362533,5859,372774693444499,9469,a,s
415700934,2314,213198094002370,8871,d,s
415864226,6462,6513530622778549,841,a,w
416823648,8988,375952664377065,1602,b,w
417683230,6190,4.91125643960568E+018,1378,b,s
419275822,2412,370260901228595,8383,d,s
419875106,5243,4100579108352,3980,b,w
420358056,8466,6011826426134443,8510,b,s
420488015,9630,3587880389728031,5259,c,s
421662893,3516,3565714507644208,3141,c,s
422028500,9061,36035879583049,2681,c,w
422486610,6805,4484345371225,8926,c,w
422600511,7683,213179829310361,4584,b,s
423230994,9327,4810157875555385,3011,d,s
425562573,2349,3548837004316830,9182,d,s
425787903,1668,4.39288868142519E+018,4442,a,w
427071964,5475,6011057123637344,843,d,w
427098237,2343,370079002819254,7553,b,w
427161934,732,3556369707153368,3900,a,w
427655673,9630,371918561277611,4092,d,s
427873947,9264,370486437799011,215,d,s
428881009,1386,4235295009648028,2831,d,s
429297299,6120,4534300861693829,2404,c,w
430929709,2528,4.32650031287083E+018,7373,a,w
433162502,9164,4611771135695194,759,c,w
435241069,9459,3527622493387657,5467,d,w
435732163,4443,213158584674237,4239,c,s
437564000,3720,4874927289399114,8836,a,w
438282074,2762,4.95265784117516E+018,5836,b,w
439976084,2991,4106789684294872,3767,c,w
440333998,3692,30535714128401,941,d,w
441297040,9941,4673089310209227,4926,d,w
441732476,9745,4204130250469013,5461,b,s
442860435,7122,676259807037,4659,c,s
444324946,8436,2627128992205763,2894,c,w
444691464,4458,3520695812313262,2275,d,w
444752198,9026,30536103345820,4080,b,s
444860144,8370,2720215953008454,8730,b,s
445794454,530,4080802748858440,1214,a,s
446298592,2991,4158381605576400,7817,a,s
446594043,3713,4552264795010,5699,a,s
449039914,9522,180040856052368,3412,b,w
449095108,8325,4.2664703632845E+018,664,d,w
449125031,9264,4951538935773952,6023,d,w
449930716,3785,3500446826504924,587,b,w
449937903,7105,4.71614230749907E+018,5161,b,s
452374604,7280,2555590789513574,1501,c,s
454536684,3845,213199619536264,9468,a,w
458156951,4508,3559031271320487,1882,b,s
459007651,1964,3576497882901081,6836,d,w
460763238,6373,30598967855161,3737,d,w
461349738,4746,676159484408,7511,c,w
462219571,6090,4559032751045659,5775,d,s
463226408,7825,676300280663,3010,a,w
463618467,8368,4.25471110226862E+018,233,b,s
463682217,9557,3501890505669723,2503,b,w
463692126,2055,180037890720653,471,c,w
464658415,1371,3596569736741230,7846,b,w
465365390,7338,180010156709546,7937,d,w
465896525,2202,3556991273445843,5179,d,s
466454173,5913,36229967944151,115,a,s
468721086,4836,4393494094026251,4367,b,s
468824272,7762,3541149964119551,9149,b,s
469532048,4623,4.73793762804669E+018,5753,c,w
471566582,4955,570530010984,3716,c,s
472419546,6563,3518681473208532,224,d,w
473279572,4674,6537843383495134,7108,b,w
475103011,6250,375498093712811,7531,b,s
476524270,9895,341709868297502,8120,d,w
476965367,9512,4650138030599768,4122,c,s
477605562,1102,4826982477895125,1995,a,w
477967596,1827,3595991712958110,698,a,w
478935341,7733,344415362025574,7314,c,s
481112753,4509,4152311142017,6501,d,w
481415703,7197,579479764279,1037,d,s
481605928,2129,3583858538413915,6936,c,s
484411569,7183,341925933881290,2040,b,s
484586903,1012,4829966045840629,8844,a,s
485009996,9795,6592799303722290,2837,c,w
485633847,9333,2247996782545808,5912,c,w
487206159,6009,344394365278805,635,b,w
488514159,8401,2344063029583068,7243,d,w
488558920,8372,30598446624022,2467,c,s
488699174,3815,3517682194580424,6301,b,w
489963045,5005,4.77658106736261E+018,5252,a,w
490959040,7587,4968893328421,3560,d,w
491552360,6278,2717595436416530,4333,b,s
492756448,8856,4471723425582,1563,d,s
493055788,1297,4623931076149322,9545,b,s
493306902,6313,4324140888038291,5941,b,s
493332762,8295,4719578252356,7662,a,w
495117974,6277,344865404672249,6532,b,s
495323983,3888,4547360343009023,2246,c,s
496115491,6515,6564528490887168,1913,b,w
496426281,6502,3511283118534005,8468,c,w
498140262,7320,579606934126,976,b,w
501057875,2794,3549175678612617,790,a,w
501364656,3807,676206378652,5047,d,s
503386158,1261,4092898834095307,6902,a,w
503773402,8861,4074247906291,4948,a,s
503943065,2389,3540211377628775,7638,a,s
504342523,6579,3509573978393466,8323,c,w
504354207,5083,4.97299023375969E+018,6525,b,s
504786790,5456,2438555977713412,1293,c,w
505173494,7638,213162454992935,4002,d,s
506189765,3269,675962687371,5915,a,w
506196900,6649,4.02929695399501E+018,5356,d,w
506203036,7473,6597513754722377,9041,d,s
507223592,7976,4.68671750215183E+018,1341,a,s
508919964,4410,6582610204086085,4900,c,s
509889168,8032,3520776383806502,9451,d,w
510871536,8284,4.78253212931972E+018,1162,b,w
511404145,3248,344582693273643,6303,c,w
512059551,5418,2711803690984359,2062,a,w
512541253,2274,180018859878765,8641,a,w
513740892,5535,6514868820516074,7097,a,w
514438071,941,4.28943111502454E+018,4951,d,s
514592699,2495,213127175811425,2181,d,w
515019588,6448,3517617108198087,7139,c,w
516260949,9840,4.74919223976841E+018,3263,b,w
516734937,1041,585574311346,5927,a,s
516772454,6454,4.73306945091403E+018,6173,d,w
519543270,3539,676119564190,2517,a,s
520018180,7476,213196794813849,1992,a,w
522559234,6924,341425993548947,6691,a,s
522615329,7707,4.33947428061147E+018,239,d,s
523072180,2768,30256149827968,7205,d,w
524309614,5063,6581899231206219,4886,b,w
525121615,2946,30566354155750,4059,d,s
525136399,4039,4465649041069,9288,c,s
525387339,1170,4558977980865171,3746,c,w
525435896,9329,573366382139,2893,b,w
525644809,5344,36947013064787,4495,b,s
526983778,5542,3577316987326193,2814,d,s
527521416,2782,675965451262,8062,c,w
528033576,1836,30080396783058,297,d,s
528505431,8512,4642890148856,8385,d,w
528737228,6486,180074550682204,1375,d,s
529371276,4177,3571052341947244,8926,a,w
529561184,3408,377245466547722,4137,d,s
529691572,6353,4.57676572974426E+018,8630,d,s
530034697,2521,4.50379466738638E+018,6270,d,w
530701477,7428,343864791508133,2966,d,s
535334962,9307,2719784968935921,1273,b,w
535964396,4214,348355491097159,4229,b,s
536096849,2699,4547733382477782,1561,a,w
536880072,9050,4717065550547326,1562,a,s
537279422,2890,3547146418888504,8408,c,s
539156275,2641,4290997173762764,7891,c,w
539179913,934,4.02870184381358E+018,3459,c,s
539691440,1786,4.18107751677953E+018,4198,b,w
539756331,1283,2252821835113291,757,d,w
540243783,3107,373920713861886,3247,b,w
541946320,6079,4578798651106,3728,a,s
542225647,6025,6011288583433821,5790,c,w
545033771,9279,3502803573407719,1827,d,w
545152311,8976,347403148510868,6973,c,s
546547504,4998,4545987278601614,446,d,s
546890306,3361,30593064368192,1588,c,w
547264052,3617,373189962918249,5735,b,w
547817614,3470,4624474781357756,587,d,s
548091956,7861,3529719359986131,861,d,w
548927113,5979,4343652237797366,2979,a,s
549423970,4168,375995387436668,5761,d,w
551057062,9515,3513595479133608,6218,d,w
551533686,3623,341223315319661,3712,b,w
552407330,2799,4.1662159317451E+018,3612,b,s
552593028,3700,6011793276455486,230,b,w
552830947,7898,6561243774437960,1578,c,w
553839896,8466,3563143668967301,6425,b,w
554262766,4133,4445106413266,1028,a,s
555132442,5770,6585150677789524,2395,b,s
555337790,6847,4379523275216105,5142,a,s
555726446,3774,3558758387931127,1408,b,w
556501665,4419,4755762566626606,8918,c,s
557351461,6403,374362818735997,774,c,s
557446265,3594,4422489895217195,1973,d,w
557886248,9110,3535951704242637,6180,c,w
558117143,7111,343387313336015,8755,c,s
558306666,6912,3556594317807422,7106,b,w
558907403,5171,6011710575536329,7358,a,w
559628769,659,4350559736637,4683,c,s
559922560,2642,4330861599016449,1551,d,w
560040716,7839,4251565953517901,9248,c,s
560324621,7873,5530645137189205,7367,a,w
560380582,6292,4014119388106555,6840,b,w
561936621,8183,377123460755056,4517,b,s
562567835,9816,6554121753449124,1861,a,w
562633718,8712,3570651187944941,9149,c,s
563486499,1464,213136653748892,1148,b,w
565045958,3744,4065940246456,4497,c,s
566540549,4749,502040231677,1526,c,w
566971656,653,6011103670008263,8285,a,s
569012676,5573,4640389967593927,7005,d,w
570074410,9473,3595943018713657,643,c,w
570600246,2245,180029476914685,6757,d,w
572603689,6976,30580529323714,9577,a,s
573714539,4480,4040521521742,1144,a,s
574024388,2718,4579556114381662,3933,b,s
574038811,5372,6508553077193888,5450,c,w
574052355,3394,6011080650125186,5181,b,w
574469275,5386,3563030603511635,7262,a,w
574819624,9171,3572566499802447,6429,d,s
